"ID"	"symbol"	"Module"	"probeset_id"	"seqname"	"strand"	"start"	"stop"	"total_probes"	"EntrezGene"
2323847	"PLA2G5"	"M2"	2323847	"chr1"	"+"	"20354682"	"20417653"	104	"5322"
2323882	"PLA2G2F"	""	2323882	"chr1"	"+"	"20465818"	"20477671"	48	"64600"
2323899	"UBXN10"	"M2"	2323899	"chr1"	"+"	"20499184"	"20529300"	98	"127733"
2324084	"CDA"	"M2"	2324084	"chr1"	"+"	"20915451"	"20945395"	37	"978"
2324097	"PINK1"	"M2"	2324097	"chr1"	"+"	"20959948"	"20978162"	94	"65018"
2324416	"ALPL"	"M2"	2324416	"chr1"	"+"	"21835869"	"21904893"	136	"249"
2324594	"CELA3A"	""	2324594	"chr1"	"+"	"22328022"	"22339021"	61	"10136"
2324616	"HSPC157"	"M2"	2324616	"chr1"	"+"	"22351701"	"22357701"	44	"29092"
2324634	"CDC42"	"M20"	2324634	"chr1"	"+"	"22378994"	"22441809"	165	"998"
2324743	"ZBTB40"	"M20"	2324743	"chr1"	"+"	"22778350"	"22874889"	267	"9923"
2324856	"C1QA"	"M2"	2324856	"chr1"	"+"	"22944682"	"22966155"	59	"712"
2324873	"C1QC"	"M4"	2324873	"chr1"	"+"	"22970128"	"22974590"	30	"714"
2324884	"C1QB"	"M4"	2324884	"chr1"	"+"	"22979494"	"23050035"	132	"713"
2324919	"EPHB2"	"M20"	2324919	"chr1"	"+"	"23037304"	"23270581"	300	"2048"
2325002	"KDM1"	"M20"	2325002	"chr1"	"+"	"23336334"	"23410173"	148	"23028"
2325158	"MDS2"	""	2325158	"chr1"	"+"	"23907995"	"23967039"	32	"259283"
2325192	"RPL11"	"M20"	2325192	"chr1"	"+"	"24017995"	"24023615"	88	"6135"
2325251	"TCEB3"	"M20"	2325251	"chr1"	"+"	"24069872"	"24088548"	80	"6924"
2325410	"NIPAL3"	"M2"	2325410	"chr1"	"+"	"24740034"	"24799465"	209	"57185"
2325479	"RCAN3"	"M20"	2325479	"chr1"	"+"	"24829326"	"24867525"	80	"11123"
2325526	"SRRM1"	"M20"	2325526	"chr1"	"+"	"24958227"	"25057381"	234	"10250"
2325877	"RHD"	""	2325877	"chr1"	"+"	"25598991"	"25656936"	83	"6007"
2326018	"LDLRAP1"	"M2"	2326018	"chr1"	"+"	"25889009"	"25896164"	51	"26119"
2326049	"MAN1C1"	"M2"	2326049	"chr1"	"+"	"25943959"	"26114211"	277	"57134"
2326237	"EXTL1"	"M15"	2326237	"chr1"	"+"	"26320247"	"26362920"	119	"2134"
2326286	"PDIK1L"	"M20"	2326286	"chr1"	"+"	"26437684"	"26452024"	32	"149420"
2326295	"GRRP1"	""	2326295	"chr1"	"+"	"26485521"	"26489315"	34	"79927"
2326327	"CNKSR1"	""	2326327	"chr1"	"+"	"26500634"	"26516370"	131	"10256"
2326463	"CD52"	"M2"	2326463	"chr1"	"+"	"26644417"	"26647000"	29	"1043"
2326531	"HMGN2"	"M20"	2326531	"chr1"	"+"	"26798430"	"26827426"	115	"3151"
2326561	"RPS6KA1"	"M19"	2326561	"chr1"	"+"	"26856258"	"26901495"	202	"6195"
2326640	"ARID1A"	"M20"	2326640	"chr1"	"+"	"27022522"	"27108590"	248	"8289"
2326799	"NUDC"	"M2"	2326799	"chr1"	"+"	"27226749"	"27273357"	118	"10726"
2327045	"GPR3"	"M2"	2327045	"chr1"	"+"	"27718735"	"27722311"	31	"2827"
2327283	"C1orf38"	"M2"	2327283	"chr1"	"+"	"28199083"	"28214208"	69	"9473"
2327310	"SMPDL3B"	""	2327310	"chr1"	"+"	"28261524"	"28285648"	96	"27293"
2327482	"RCC1"	"M20"	2327482	"chr1"	"+"	"28832475"	"28929906"	171	"1104"
2327542	"TRNAU1AP"	"M20"	2327542	"chr1"	"+"	"28879549"	"28905050"	87	"54952"
2327603	"GMEB1"	"M20"	2327603	"chr1"	"+"	"28995244"	"29042705"	87	"10691"
2327630	"YTHDF2"	"M20"	2327630	"chr1"	"+"	"29063153"	"29096272"	82	"51441"
2327659	"OPRD1"	"M15"	2327659	"chr1"	"+"	"29138654"	"29190477"	46	"4985"
2327677	"EPB41"	"M20"	2327677	"chr1"	"+"	"29213635"	"29448704"	254	"2035"
2327817	"PTPRU"	"M20"	2327817	"chr1"	"+"	"29563028"	"29653292"	186	"10076"
2328273	"SERINC2"	"M20"	2328273	"chr1"	"+"	"31880031"	"31907522"	132	"347735"
2328320	"TINAGL1"	"M2"	2328320	"chr1"	"+"	"31971816"	"32053283"	169	"64129"
2328387	"HCRTR1"	"M20"	2328387	"chr1"	"+"	"32083072"	"32093214"	61	"3061"
2328465	"KHDRBS1"	"M20"	2328465	"chr1"	"+"	"32439662"	"32526447"	394	"10657"
2328633	"TMEM39B"	"M20"	2328633	"chr1"	"+"	"32527959"	"32568465"	132	"55116"
2328750	"CCDC28B"	"M20"	2328750	"chr1"	"+"	"32666024"	"32670985"	62	"79140"
2328767	"IQCC"	""	2328767	"chr1"	"+"	"32671253"	"32674257"	34	"55721"
2328837	"FAM167B"	""	2328837	"chr1"	"+"	"32712834"	"32714457"	12	"84734"
2328868	"HDAC1"	"M2"	2328868	"chr1"	"+"	"32757707"	"32800226"	123	"3065"
2328936	"ZBTB8A"	"M20"	2328936	"chr1"	"+"	"32930658"	"33067927"	152	"653121"
2328990	"RBBP4"	"M20"	2328990	"chr1"	"+"	"33116769"	"33151804"	126	"5928"
2329041	"KIAA1522"	"M20"	2329041	"chr1"	"+"	"33207506"	"33240571"	109	"57648"
2329077	"S100PBP"	"M20"	2329077	"chr1"	"+"	"33282876"	"33324966"	139	"64766"
2329131	"HPCA"	"M15"	2329131	"chr1"	"+"	"33351615"	"33364022"	48	"3208"
2329196	"ADC"	"M2"	2329196	"chr1"	"+"	"33546398"	"33586672"	151	"113451"
2329266	"ZNF362"	"M20"	2329266	"chr1"	"+"	"33685115"	"33766315"	129	"149076"
2329341	"ZSCAN20"	"M20"	2329341	"chr1"	"+"	"33938259"	"33963343"	92	"7579"
2329669	"ZMYM1"	"M20"	2329669	"chr1"	"+"	"35512373"	"35581999"	148	"79830"
2329887	"NCDN"	"M2"	2329887	"chr1"	"+"	"36022786"	"36032871"	109	"23154"
2330002	"EIF2C4"	"M20"	2330002	"chr1"	"+"	"36273753"	"36323478"	233	"192670"
2330234	"TEKT2"	"M20"	2330234	"chr1"	"+"	"36549676"	"36553876"	71	"27285"
2330334	"THRAP3"	"M20"	2330334	"chr1"	"+"	"36673362"	"36770950"	222	"9967"
2330393	"C1orf113"	"M2"	2330393	"chr1"	"+"	"36771889"	"36790484"	144	"79729"
2330723	"DNALI1"	"M20"	2330723	"chr1"	"+"	"38019941"	"38032450"	78	"7802"
2330773	"CDCA8"	"M1"	2330773	"chr1"	"+"	"38158110"	"38175380"	75	"55143"
2330843	"MANEAL"	"M20"	2330843	"chr1"	"+"	"38258666"	"38267531"	47	"149175"
2330899	"UTP11L"	"M20"	2330899	"chr1"	"+"	"38474950"	"38490493"	64	"51118"
2331178	"NDUFS5"	"M14"	2331178	"chr1"	"+"	"39492006"	"39506804"	38	"4725"
2331505	"MACF1"	""	2331505	"chr1"	"+"	"39946275"	"39948794"	20	"23499"
2331511	"BMP8A"	"M20"	2331511	"chr1"	"+"	"39956988"	"39991973"	129	"353500"
2331558	"BMP8A"	"M2"	2331558	"chr1"	"+"	"39992032"	"39995539"	20	"353500"
2331679	"MFSD2"	"M27"	2331679	"chr1"	"+"	"40420810"	"40435630"	154	"84879"
2331822	"ZMPSTE24"	"M20"	2331822	"chr1"	"+"	"40723732"	"40759845"	80	"10269"
2331903	"ZNF643"	"M20"	2331903	"chr1"	"+"	"40915528"	"40929387"	67	"65243"
2331937	"ZNF642"	"M20"	2331937	"chr1"	"+"	"40942895"	"40962495"	56	"339559"
2331959	"DEM1"	"M20"	2331959	"chr1"	"+"	"40974320"	"40982218"	55	"64789"
2331974	"ZNF684"	""	2331974	"chr1"	"+"	"40982260"	"41013834"	63	"127396"
2332013	"NFYC"	"M20"	2332013	"chr1"	"+"	"41157123"	"41237273"	225	"4802"
2332144	"CTPS"	"M20"	2332144	"chr1"	"+"	"41403898"	"41478228"	179	"1503"
2332566	"PPCS"	"M14"	2332566	"chr1"	"+"	"42921667"	"42928894"	64	"79717"
2332583	"CCDC30"	"M2"	2332583	"chr1"	"+"	"42928982"	"43472979"	241	"728621"
2332711	"PPIH"	"M2"	2332711	"chr1"	"+"	"43124058"	"43147325"	132	"10465"
2332767	"C1orf50"	"M14"	2332767	"chr1"	"+"	"43232940"	"43264046"	123	"79078"
2332999	"WDR65"	"M3"	2332999	"chr1"	"+"	"43638026"	"43676612"	64	"149465"
2333035	"TMEM125"	"M2"	2333035	"chr1"	"+"	"43735685"	"43739659"	51	"128218"
2333107	"MPL"	"M2"	2333107	"chr1"	"+"	"43803475"	"43824254"	97	"4352"
2333136	"CDC20"	"M1"	2333136	"chr1"	"+"	"43824593"	"43828844"	87	"991"
2333168	"C1orf84"	"M20"	2333168	"chr1"	"+"	"43855566"	"43878462"	39	"23334"
2333429	"KDM4A"	"M20"	2333429	"chr1"	"+"	"44115820"	"44171407"	195	"9682"
2333599	"IPO13"	"M2"	2333599	"chr1"	"+"	"44412499"	"44433690"	128	"9670"
2333678	"B4GALT2"	"M20"	2333678	"chr1"	"+"	"44444635"	"44456839"	109	"8704"
2333907	"RNF220"	"M2"	2333907	"chr1"	"+"	"44870706"	"45117381"	438	"55182"
2334098	"KIF2C"	"M1"	2334098	"chr1"	"+"	"45205510"	"45233407"	159	"11004"
2334191	"PLK3"	"M20"	2334191	"chr1"	"+"	"45265648"	"45271659"	90	"1263"
2334279	"UROD"	"M2"	2334279	"chr1"	"+"	"45477840"	"45481341"	93	"7389"
2334350	"MMACHC"	"M2"	2334350	"chr1"	"+"	"45960786"	"45979034"	75	"25974"
2334374	"AKR1A1"	"M20"	2334374	"chr1"	"+"	"46016468"	"46035685"	97	"10327"
2334404	"NASP"	"M20"	2334404	"chr1"	"+"	"46049303"	"46084565"	144	"4678"
2334459	"TMEM69"	"M20"	2334459	"chr1"	"+"	"46152896"	"46160106"	32	"51249"
2334476	"MAST2"	"M20"	2334476	"chr1"	"+"	"46246949"	"46507050"	354	"23139"
2334602	"TSPAN1"	"M19"	2334602	"chr1"	"+"	"46640770"	"46662154"	103	"10103"
2334740	"FAAH"	"M2"	2334740	"chr1"	"+"	"46859780"	"46927488"	168	"2166"
2334847	"DMBX1"	""	2334847	"chr1"	"+"	"46964435"	"46981890"	52	"127343"
2334932	"CYP4B1"	""	2334932	"chr1"	"+"	"47264680"	"47335693"	124	"1580"
2334986	"CYP4X1"	""	2334986	"chr1"	"+"	"47427108"	"47516409"	90	"260293"
2335014	"CYP4Z1"	"M2"	2335014	"chr1"	"+"	"47533047"	"47583992"	123	"199974"
2335671	"ELAVL4"	"M20"	2335671	"chr1"	"+"	"50498143"	"50669442"	276	"1996"
2335922	"CDKN2C"	"M1"	2335922	"chr1"	"+"	"51426417"	"51440522"	64	"1031"
2335986	"RNF11"	"M2"	2335986	"chr1"	"+"	"51663138"	"51753937"	105	"26994"
2336439	"GPX7"	"M1"	2336439	"chr1"	"+"	"53068044"	"53074719"	32	"2882"
2336456	"FAM159A"	""	2336456	"chr1"	"+"	"53098900"	"53148474"	92	"348378"
2336650	"PODN"	"M2"	2336650	"chr1"	"+"	"53527738"	"53551165"	129	"127435"
2336706	"CPT2"	"M2"	2336706	"chr1"	"+"	"53637169"	"53680144"	59	"1376"
2336913	"LRRC42"	"M20"	2336913	"chr1"	"+"	"54411745"	"54433831"	89	"115353"
2336963	"C1orf83"	"M20"	2336963	"chr1"	"+"	"54519265"	"54578182"	89	"127428"
2337147	"ACOT11"	"M2"	2337147	"chr1"	"+"	"55002469"	"55104870"	223	"26027"
2337217	"C1orf175"	"M2"	2337217	"chr1"	"+"	"55107459"	"55175939"	226	"374977"
2337285	"TTC4"	"M20"	2337285	"chr1"	"+"	"55181456"	"55208639"	108	"7268"
2337369	"TMEM61"	"M19"	2337369	"chr1"	"+"	"55446158"	"55457959"	53	"199964"
2337407	"PCSK9"	"M20"	2337407	"chr1"	"+"	"55481149"	"55530523"	131	"255738"
2338487	"FGGY"	"M2"	2338487	"chr1"	"+"	"59762487"	"60228394"	485	"55277"
2338625	"HOOK1"	"M2"	2338625	"chr1"	"+"	"60280533"	"60342198"	164	"51361"
2339139	"INADL"	"M19"	2339139	"chr1"	"+"	"62193452"	"62695655"	704	"10207"
2339414	"USP1"	"M20"	2339414	"chr1"	"+"	"62890533"	"62917455"	112	"7398"
2339454	"ANGPTL3"	""	2339454	"chr1"	"+"	"63063178"	"63071969"	75	"27329"
2339511	"ATG4C"	"M2"	2339511	"chr1"	"+"	"63249803"	"63331184"	103	"84938"
2339682	"ALG6"	"M20"	2339682	"chr1"	"+"	"63833281"	"63902869"	129	"29929"
2339740	"EFCAB7"	"M20"	2339740	"chr1"	"+"	"63972383"	"64051031"	190	"84455"
2339786	"PGM1"	"M2"	2339786	"chr1"	"+"	"64058926"	"64126380"	167	"5236"
2339872	"ROR1"	"M17"	2339872	"chr1"	"+"	"64239654"	"64645227"	450	"4919"
2339997	"UBE2U"	""	2339997	"chr1"	"+"	"64647716"	"64786823"	174	"148581"
2340078	"CACHD1"	"M20"	2340078	"chr1"	"+"	"64935823"	"65174273"	362	"57685"
2340315	"AK3L1"	""	2340315	"chr1"	"+"	"65613252"	"65731677"	127	"205"
2340423	"BPA-1"	"M2"	2340423	"chr1"	"+"	"65764465"	"65765736"	12	NA
2340819	"TCTEX1D1"	"M3"	2340819	"chr1"	"+"	"67218142"	"67244714"	48	"200132"
2340961	"IL12RB2"	"M25"	2340961	"chr1"	"+"	"67743735"	"67879005"	220	"3595"
2341083	"GADD45A"	"M2"	2341083	"chr1"	"+"	"68111332"	"68179012"	101	"1647"
2341387	"LRRC7"	"M10"	2341387	"chr1"	"+"	"69958789"	"70605093"	330	"57554"
2341535	"PIN1L"	"M20"	2341535	"chr1"	"+"	"70385015"	"70386208"	29	"5301"
2341645	"HHLA3"	"M2"	2341645	"chr1"	"+"	"70820508"	"70833665"	49	"11147"
2341663	"CTH"	"M2"	2341663	"chr1"	"+"	"70870634"	"70919605"	117	"1491"
2342176	"FPGT"	""	2342176	"chr1"	"+"	"74663922"	"74673379"	58	"100526835"
2342220	"TNNI3K"	""	2342220	"chr1"	"+"	"74699504"	"75010108"	177	"100526835"
2342391	"TYW3"	"M2"	2342391	"chr1"	"+"	"75182501"	"75232358"	116	"127253"
2342475	"LHX8"	"M5"	2342475	"chr1"	"+"	"75543715"	"75665095"	164	"431707"
2342624	"RABGGTB"	"M2"	2342624	"chr1"	"+"	"76251886"	"76260745"	132	"5876"
2342665	"MSH4"	""	2342665	"chr1"	"+"	"76262581"	"76378927"	124	"4438"
2342738	"ST6GALNAC3"	"M20"	2342738	"chr1"	"+"	"76540414"	"77103215"	341	"256435"
2342904	"ST6GALNAC5"	"M10"	2342904	"chr1"	"+"	"77301545"	"77531396"	274	"81849"
2343025	"AK5"	"M16"	2343025	"chr1"	"+"	"77747637"	"78025651"	284	"26289"
2343170	"CCDC55"	"M2"	2343170	"chr1"	"+"	"78245232"	"78345225"	205	"374986"
2343231	"NEXN"	"M9"	2343231	"chr1"	"+"	"78354218"	"78410172"	109	"91624"
2343289	"DNAJB4"	"M2"	2343289	"chr1"	"+"	"78444879"	"78499259"	56	"11080"
2343334	"GIPC2"	""	2343334	"chr1"	"+"	"78511434"	"78632235"	73	"54810"
2343418	"PTGFR"	""	2343418	"chr1"	"+"	"78769578"	"79004474"	76	"5737"
2343473	"IFI44L"	"M2"	2343473	"chr1"	"+"	"79086136"	"79108668"	109	"10964"
2343511	"IFI44"	""	2343511	"chr1"	"+"	"79115494"	"79199472"	135	"10561"
2343823	"LPHN2"	"M20"	2343823	"chr1"	"+"	"81696950"	"82458402"	625	"23266"
2344450	"NEDD8"	""	2344450	"chr1"	"+"	"84709971"	"84710522"	19	"100128775"
2344511	"DNASE2B"	""	2344511	"chr1"	"+"	"84864009"	"84880921"	72	"58511"
2344577	"SPATA1"	""	2344577	"chr1"	"+"	"84971984"	"85031866"	147	"100505741"
2344731	"WDR63"	"M3"	2344731	"chr1"	"+"	"85464840"	"85599626"	175	"126820"
2344888	"CYR61"	"M2"	2344888	"chr1"	"+"	"86044088"	"86094928"	122	"3491"
2345061	"CLCA4"	"M2"	2345061	"chr1"	"+"	"86971736"	"87054358"	125	"22802"
2345286	"LMO4"	"M10"	2345286	"chr1"	"+"	"87685745"	"87816229"	248	"8543"
2345880	"LRRC8B"	"M15"	2345880	"chr1"	"+"	"89982645"	"90063420"	139	"23507"
2345929	"LRRC8C"	"M15"	2345929	"chr1"	"+"	"90098641"	"90235462"	217	"84230"
2346074	"ZNF326"	"M20"	2346074	"chr1"	"+"	"90460634"	"90567888"	174	"284695"
2346399	"CDC7"	"M20"	2346399	"chr1"	"+"	"91876579"	"92074887"	292	"8317"
2346625	"EPHX4"	"M15"	2346625	"chr1"	"+"	"92495558"	"92529252"	49	"253152"
2346657	"BTBD8"	""	2346657	"chr1"	"+"	"92545872"	"92613393"	81	"284697"
2346934	"MTF2"	"M20"	2346934	"chr1"	"+"	"93374923"	"93604614"	291	"22823"
2347023	"CCDC18"	"M1"	2347023	"chr1"	"+"	"93645492"	"93783711"	237	"343099"
2347132	"FNBP1L"	"M20"	2347132	"chr1"	"+"	"93914726"	"94020301"	176	"54874"
2347625	"SLC44A3"	"M2"	2347625	"chr1"	"+"	"95269112"	"95360799"	219	"126969"
2347732	"TMEM56"	"M2"	2347732	"chr1"	"+"	"95538369"	"95663163"	131	"148534"
2347788	"RWDD3"	""	2347788	"chr1"	"+"	"95696458"	"95791297"	144	"25950"
2348060	"PTBP2"	"M20"	2348060	"chr1"	"+"	"97187217"	"97372055"	196	"58155"
2348437	"SNX7"	"M20"	2348437	"chr1"	"+"	"99127222"	"99290707"	75	"51375"
2348569	"PALMD"	"M20"	2348569	"chr1"	"+"	"100111451"	"100164181"	161	"54873"
2348702	"SLC35A3"	"M20"	2348702	"chr1"	"+"	"100434935"	"100492513"	138	"23443"
2348792	"CCDC76"	""	2348792	"chr1"	"+"	"100575285"	"100616042"	102	"54482"
2348896	"CDC14A"	"M2"	2348896	"chr1"	"+"	"100817310"	"100985825"	218	"8556"
2348962	"GPR88"	"M24"	2348962	"chr1"	"+"	"101003693"	"101008272"	59	"54112"
2348992	"VCAM1"	"M18"	2348992	"chr1"	"+"	"101109692"	"101326671"	160	"7412"
2349086	"DPH5"	""	2349086	"chr1"	"+"	"101455537"	"101457660"	12	NA
2349129	"S1PR1"	"M18"	2349129	"chr1"	"+"	"101652966"	"101707058"	74	"1901"
2349345	"RNPC3"	"M2"	2349345	"chr1"	"+"	"104044975"	"104097854"	168	"55599"
2349848	"PRMT6"	"M20"	2349848	"chr1"	"+"	"107599338"	"107605412"	32	"55170"
2349863	"NTNG1"	"M2"	2349863	"chr1"	"+"	"107682639"	"108073484"	409	"22854"
2350316	"FNDC7"	""	2350316	"chr1"	"+"	"109255289"	"109285365"	85	"163479"
2350339	"STXBP3"	"M2"	2350339	"chr1"	"+"	"109289259"	"109352139"	171	"6814"
2350489	"KIAA1324"	"M8"	2350489	"chr1"	"+"	"109656538"	"109749587"	231	"57535"
2350714	"SYPL2"	""	2350714	"chr1"	"+"	"110009199"	"110025593"	63	"284612"
2350787	"CYB561D1"	"M2"	2350787	"chr1"	"+"	"110036309"	"110048167"	103	"284613"
2350818	"GPR61"	"M2"	2350818	"chr1"	"+"	"110077403"	"110089882"	75	"83873"
2350840	"GNAI3"	"M20"	2350840	"chr1"	"+"	"110091213"	"110137064"	79	"2773"
2350922	"GSTM4"	"M2"	2350922	"chr1"	"+"	"110198703"	"110222850"	109	"2948"
2350952	"GSTM2"	"M20"	2350952	"chr1"	"+"	"110210667"	"110252902"	100	"2946"
2350981	"GSTM1"	"M20"	2350981	"chr1"	"+"	"110230442"	"110241207"	76	"2944"
2351004	"GSTM5"	"M2"	2351004	"chr1"	"+"	"110254865"	"110318030"	109	"2949"
2351063	"CSF1"	"M2"	2351063	"chr1"	"+"	"110387480"	"110473611"	176	"1435"
2351171	"FAM40A"	"M20"	2351171	"chr1"	"+"	"110574209"	"110617263"	232	"85369"
2351233	"UBL4B"	""	2351233	"chr1"	"+"	"110646041"	"110657003"	22	"164153"
2351294	"KCNC4"	"M2"	2351294	"chr1"	"+"	"110753100"	"110877571"	269	"3749"
2351465	"PROK1"	""	2351465	"chr1"	"+"	"110993749"	"110999966"	35	"84432"
2351572	"CD53"	"M4"	2351572	"chr1"	"+"	"111413829"	"111495460"	104	"963"
2351687	"CHI3L2"	"M2"	2351687	"chr1"	"+"	"111743413"	"111795135"	129	"1117"
2351787	"C1orf88"	"M3"	2351787	"chr1"	"+"	"111867305"	"111900301"	84	"128344"
2351817	"ATP5F1"	"M2"	2351817	"chr1"	"+"	"111991512"	"112004520"	89	"515"
2351854	"C1orf162"	"M2"	2351854	"chr1"	"+"	"112016434"	"112021132"	44	"128346"
2351940	"DDX20"	"M20"	2351940	"chr1"	"+"	"112298214"	"112310198"	87	"11218"
2352106	"CTTNBP2NL"	"M20"	2352106	"chr1"	"+"	"112902040"	"113009148"	220	"55917"
2352169	"WNT2B"	"M2"	2352169	"chr1"	"+"	"113009173"	"113066070"	149	"7482"
2352275	"MOV10"	"M18"	2352275	"chr1"	"+"	"113215783"	"113245690"	188	"4343"
2352338	"FAM19A3"	""	2352338	"chr1"	"+"	"113261535"	"113274279"	78	"284467"
2352501	"LRIG2"	"M20"	2352501	"chr1"	"+"	"113615841"	"113669894"	162	"9860"
2352743	"DCLRE1B"	"M20"	2352743	"chr1"	"+"	"114447788"	"114456696"	40	"64858"
2352804	"OLFML3"	"M26"	2352804	"chr1"	"+"	"114522034"	"114524860"	36	"56944"
2353021	"SYCP1"	""	2353021	"chr1"	"+"	"115397444"	"115537988"	157	"6847"
2353067	"TSHB"	""	2353067	"chr1"	"+"	"115572415"	"115576941"	34	"7252"
2353237	"VANGL1"	"M20"	2353237	"chr1"	"+"	"116137164"	"116234041"	166	"81839"
2353283	"VANGL1"	"M20"	2353283	"chr1"	"+"	"116235521"	"116236729"	12	"81839"
2353337	"SLC22A15"	"M2"	2353337	"chr1"	"+"	"116519024"	"116612667"	164	"55356"
2353717	"PTGFRN"	"M20"	2353717	"chr1"	"+"	"117452689"	"117532972"	113	"5738"
2353988	"FAM46C"	"M29"	2353988	"chr1"	"+"	"118148576"	"118170982"	69	"54855"
2354082	"WDR3"	"M20"	2354082	"chr1"	"+"	"118472304"	"118503049"	188	"10885"
2354433	"HSD3B2"	""	2354433	"chr1"	"+"	"119957727"	"120130146"	316	"3284"
2354634	"PHGDH"	"M18"	2354634	"chr1"	"+"	"120202441"	"120286788"	254	"26227"
2356142	"LIX1L"	"M20"	2356142	"chr1"	"+"	"145470125"	"145501617"	57	"128077"
2356181	"RBM8A"	"M20"	2356181	"chr1"	"+"	"145507619"	"145513968"	89	"9939"
2356425	"PDZK1"	"M19"	2356425	"chr1"	"+"	"145713525"	"145792916"	103	"5174"
2356721	"CHD1L"	"M2"	2356721	"chr1"	"+"	"146714354"	"146767442"	244	"9557"
2356818	"BCL9"	"M20"	2356818	"chr1"	"+"	"146986102"	"147098008"	210	"607"
2357845	"FCGR1A"	"M28"	2357845	"chr1"	"+"	"149718521"	"149765367"	110	"2209"
2358044	"PLEKHO1"	"M20"	2358044	"chr1"	"+"	"150121393"	"150136908"	81	"51177"
2358092	"CA14"	"M2"	2358092	"chr1"	"+"	"150228790"	"150239035"	90	"23632"
